Date,Price,Open,High,Low,Vol.,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2021-01-25,-0.40909901282466954,-0.3986413861492218,-0.3975878191656254,-0.38978178297738286,0.12961953204232907,-2.06,-0.2826455736799373,-0.3020475799729006,34.48195648745056,-1.0436625580381396,-0.7691669482358245,-1.046510869972088
2021-01-24,-0.3991124125791758,-0.40149963119591403,-0.40801871523602307,-0.3869715654254915,-0.076235329641368,0.57,-0.30480717834173915,-0.320882809682056,35.2622848277304,-1.0621078844239418,-0.8416244311226381,-0.8852158022052383
2021-01-23,-0.4017873947877902,-0.3998918683571496,-0.3991268038317497,-0.3924046526924814,0.08759461161460205,-0.35,-0.32277218582745454,-0.33678225661508243,35.14155201642397,-1.065819920713853,-0.9003810898387947,-0.7178421945971201
2021-01-22,-0.4001824054626215,-0.4077520422355534,-0.4073347220510789,-0.4375554813595354,0.8256619466551802,1.68,-0.34045146754798944,-0.34949761234860094,35.28472385654919,-1.0545938688713319,-0.9449952415281552,-0.5450728493216992
2021-01-21,-0.40820735208846476,-0.3591618764417849,-0.3577452161426312,-0.4021467402057047,0.9751028625780093,-9.21,-0.38095309476230577,-0.3613674985526319,34.87024654678926,-1.0393354908182637,-0.9774364926875938,-0.3963648408566771
2021-01-20,-0.35970100803892363,-0.3605909989651311,-0.3522732706630783,-0.3648645206839464,0.8363362977925252,0.26,-0.407329154460518,-0.3622155697159144,39.496561227430234,-0.9768093807135546,-0.9900712860068805,-0.15440287847019155
2021-01-19,-0.3609493330696104,-0.3768472676681933,-0.32234856882177354,-0.3579326507226144,1.4447743126211863,3.21,-0.40522192694231274,-0.36313755486263805,39.418958907421775,-0.9169367835057433,-0.9874261175037213,0.032261974861362945
2021-01-18,-0.3773558906157787,-0.39113849290165464,-0.3895508992425321,-0.3811637824849161,0.20028373657155255,2.87,-0.40141820269334927,-0.36688990693445456,38.3524057592888,-0.8716992842980023,-0.975674289626438,0.14351181017929088
2021-01-17,-0.3916224623950555,-0.3879229672241258,-0.39502284472208504,-0.38659686975190605,0.19664378283371792,-0.75,-0.39665015398690207,-0.3725669702081914,37.4046641361596,-0.836767252156853,-0.958832222824263,0.20569578114587572
2021-01-16,-0.38787748730299526,-0.3861365640699431,-0.3763840304323581,-0.3742319125235842,0.49475706139748726,-0.31,-0.3946679314909633,-0.3765275139382262,37.8389043053491,-0.7961984904830183,-0.936717328315751,0.2701103144989707
2021-01-15,-0.3862724979778267,-0.3568395523413475,-0.3649271445845443,-0.39821243563305686,0.7295927864190758,-5.47,-0.3923821253695203,-0.3794746761420242,38.03729727218285,-0.7533521146544379,-0.9098990345032425,0.3275685301308015
2021-01-14,-0.3573826901247912,-0.34058328363828516,-0.3553512399953268,-0.3588693899065782,0.8149875955178353,-2.99,-0.38820338605375754,-0.3766069026802561,41.647442670713275,-0.6878366740913132,-0.8744894574697127,0.4325223671244254
2021-01-13,-0.3409761325786228,-0.36398516495807803,-0.3531282621442584,-0.3554971288443086,0.5694775193589018,4.54,-0.38211385568335104,-0.3712625419870395,43.655175263112945,-0.6150856300088241,-0.8306656533963818,0.5353132297282621
